"iteration","model","dataset","aitchison_distance","MEC","RMSE"
48,"Dirichlet_RF","train",0.439219775284887,0.961466403632394,0.0684906115689295
48,"Dirichlet_RF","train",0.439219775284887,0.961466403632394,0.0744633159004773
48,"Dirichlet_RF","train",0.439219775284887,0.961466403632394,0.068958304734941
48,"Dirichlet_RF","test",0.903699713092005,0.869492341846596,0.122431646374011
48,"Dirichlet_RF","test",0.903699713092005,0.869492341846596,0.142391656792054
48,"Dirichlet_RF","test",0.903699713092005,0.869492341846596,0.1320368779341
48,"Dirichlet_regression","train",0.745065516648411,0.871227938223493,0.130873441120857
48,"Dirichlet_regression","train",0.745065516648411,0.871227938223493,0.140010413054243
48,"Dirichlet_regression","train",0.745065516648411,0.871227938223493,0.115612850045376
48,"Dirichlet_regression","test",0.960422757000701,0.842935010749986,0.131744262572877
48,"Dirichlet_regression","test",0.960422757000701,0.842935010749986,0.159941897548714
48,"Dirichlet_regression","test",0.960422757000701,0.842935010749986,0.143123876953389
48,"CLR_RF","train",0.299814087488109,0.983206232294213,0.0491585638842556
48,"CLR_RF","train",0.299814087488109,0.983206232294213,0.0471838676619454
48,"CLR_RF","train",0.299814087488109,0.983206232294213,0.0434800673914104
48,"CLR_RF","test",0.926256532783368,0.8683536928583,0.129000990486112
48,"CLR_RF","test",0.926256532783368,0.8683536928583,0.135394753035261
48,"CLR_RF","test",0.926256532783368,0.8683536928583,0.134853319160383
48,"ILR_RF","train",0.297952194541955,0.983041966210963,0.0483641496789164
48,"ILR_RF","train",0.297952194541955,0.983041966210963,0.0472721062096534
48,"ILR_RF","train",0.297952194541955,0.983041966210963,0.0449840041086726
48,"ILR_RF","test",0.914076584644341,0.873477659730469,0.124827306328181
48,"ILR_RF","test",0.914076584644341,0.873477659730469,0.133008251336806
48,"ILR_RF","test",0.914076584644341,0.873477659730469,0.133477779031858
96,"Dirichlet_RF","train",0.422534066305809,0.963923664458841,0.0719623712785505
96,"Dirichlet_RF","train",0.422534066305809,0.963923664458841,0.0674409028652629
96,"Dirichlet_RF","train",0.422534066305809,0.963923664458841,0.0656454142434733
96,"Dirichlet_RF","test",0.528790744854492,0.906768114465797,0.119136367491392
96,"Dirichlet_RF","test",0.528790744854492,0.906768114465797,0.111171875854468
96,"Dirichlet_RF","test",0.528790744854492,0.906768114465797,0.0959034210409218
96,"Dirichlet_regression","train",0.738328431344119,0.873742370334049,0.124982753682728
96,"Dirichlet_regression","train",0.738328431344119,0.873742370334049,0.132830665098155
96,"Dirichlet_regression","train",0.738328431344119,0.873742370334049,0.125929494090101
96,"Dirichlet_regression","test",0.719350374876052,0.831596268060828,0.152361965999532
96,"Dirichlet_regression","test",0.719350374876052,0.831596268060828,0.170734058028775
96,"Dirichlet_regression","test",0.719350374876052,0.831596268060828,0.110502368656838
96,"CLR_RF","train",0.290443247270246,0.984396385004,0.0477333453242065
96,"CLR_RF","train",0.290443247270246,0.984396385004,0.0448858907106858
96,"CLR_RF","train",0.290443247270246,0.984396385004,0.0421623674232253
96,"CLR_RF","test",0.522192098684794,0.909894258567565,0.116395049234001
96,"CLR_RF","test",0.522192098684794,0.909894258567565,0.111116893462316
96,"CLR_RF","test",0.522192098684794,0.909894258567565,0.0930409731873579
96,"ILR_RF","train",0.291706830012923,0.984692515033092,0.0472984424406315
96,"ILR_RF","train",0.291706830012923,0.984692515033092,0.0442388826142663
96,"ILR_RF","train",0.291706830012923,0.984692515033092,0.0419695640071487
96,"ILR_RF","test",0.506457142095699,0.915033124681965,0.111862594517021
96,"ILR_RF","test",0.506457142095699,0.915033124681965,0.107155832446038
96,"ILR_RF","test",0.506457142095699,0.915033124681965,0.0926566979412024
144,"Dirichlet_RF","train",0.482083655503723,0.958944168642258,0.0699382530011969
144,"Dirichlet_RF","train",0.482083655503723,0.958944168642258,0.0754971229763972
144,"Dirichlet_RF","train",0.482083655503723,0.958944168642258,0.0717527913924738
144,"Dirichlet_RF","test",0.545062902721477,0.911808659164904,0.10398865169295
144,"Dirichlet_RF","test",0.545062902721477,0.911808659164904,0.106065427742758
144,"Dirichlet_RF","test",0.545062902721477,0.911808659164904,0.107211636258915
144,"Dirichlet_regression","train",0.759718372397347,0.877976034461302,0.114565657762843
144,"Dirichlet_regression","train",0.759718372397347,0.877976034461302,0.135383466588714
144,"Dirichlet_regression","train",0.759718372397347,0.877976034461302,0.1238004215405
144,"Dirichlet_regression","test",0.685686968725873,0.864663785259165,0.116556317154452
144,"Dirichlet_regression","test",0.685686968725873,0.864663785259165,0.13786222565987
144,"Dirichlet_regression","test",0.685686968725873,0.864663785259165,0.137497869414889
144,"CLR_RF","train",0.314411343310971,0.978752063045646,0.0477425964953851
144,"CLR_RF","train",0.314411343310971,0.978752063045646,0.0568873449467573
144,"CLR_RF","train",0.314411343310971,0.978752063045646,0.0512867339760894
144,"CLR_RF","test",0.575299833631186,0.902220238570241,0.110887461637514
144,"CLR_RF","test",0.575299833631186,0.902220238570241,0.114009822381283
144,"CLR_RF","test",0.575299833631186,0.902220238570241,0.109142514318071
144,"ILR_RF","train",0.31816864048744,0.978051543959329,0.0480757080185575
144,"ILR_RF","train",0.31816864048744,0.978051543959329,0.0572257207760528
144,"ILR_RF","train",0.31816864048744,0.978051543959329,0.053182298636887
144,"ILR_RF","test",0.576694873583827,0.901022315126047,0.112080372145417
144,"ILR_RF","test",0.576694873583827,0.901022315126047,0.116100821909428
144,"ILR_RF","test",0.576694873583827,0.901022315126047,0.107799677959171
192,"Dirichlet_RF","train",0.370404130249389,0.965928580831779,0.0649739968497796
192,"Dirichlet_RF","train",0.370404130249389,0.965928580831779,0.0659154156381532
192,"Dirichlet_RF","train",0.370404130249389,0.965928580831779,0.0677052322545192
192,"Dirichlet_RF","test",0.596739388558869,0.893853740054098,0.113606770972564
192,"Dirichlet_RF","test",0.596739388558869,0.893853740054098,0.112990919043005
192,"Dirichlet_RF","test",0.596739388558869,0.893853740054098,0.122646806130088
