"iteration","model","dataset","aitchison_distance","MEC","RMSE"
48,"Dirichlet_RF","train",0.705064304503387,0.906708347404582,0.129007582003026
48,"Dirichlet_RF","train",0.705064304503387,0.906708347404582,0.101400812977791
48,"Dirichlet_RF","train",0.705064304503387,0.906708347404582,0.121808284416256
48,"Dirichlet_RF","test",0.837971008755281,0.88073465459347,0.165679938964804
48,"Dirichlet_RF","test",0.837971008755281,0.88073465459347,0.110142774421324
48,"Dirichlet_RF","test",0.837971008755281,0.88073465459347,0.119263959202145
48,"Dirichlet_regression","train",0.679900473720124,0.910731897284717,0.125741012690506
48,"Dirichlet_regression","train",0.679900473720124,0.910731897284717,0.0983728682861078
48,"Dirichlet_regression","train",0.679900473720124,0.910731897284717,0.120304444533361
48,"Dirichlet_regression","test",0.849683815986136,0.884636375105783,0.158482906548259
48,"Dirichlet_regression","test",0.849683815986136,0.884636375105783,0.10630677084114
48,"Dirichlet_regression","test",0.849683815986136,0.884636375105783,0.125007952357569
48,"CLR_RF","train",0.558438194507372,0.939693059165052,0.10130980102996
48,"CLR_RF","train",0.558438194507372,0.939693059165052,0.0811805072234026
48,"CLR_RF","train",0.558438194507372,0.939693059165052,0.100710801146922
48,"CLR_RF","test",0.83245933987822,0.885477244983269,0.158188716911912
48,"CLR_RF","test",0.83245933987822,0.885477244983269,0.104748600537809
48,"CLR_RF","test",0.83245933987822,0.885477244983269,0.125178517603198
48,"ILR_RF","train",0.553623832944518,0.940626986378591,0.100131033249364
48,"ILR_RF","train",0.553623832944518,0.940626986378591,0.0802812300765776
48,"ILR_RF","train",0.553623832944518,0.940626986378591,0.100534772357454
48,"ILR_RF","test",0.829756713443673,0.886204808956536,0.157452099542407
48,"ILR_RF","test",0.829756713443673,0.886204808956536,0.107199085006309
48,"ILR_RF","test",0.829756713443673,0.886204808956536,0.12269703049934
96,"Dirichlet_RF","train",0.817894770385116,0.892899608049258,0.143343523412774
96,"Dirichlet_RF","train",0.817894770385116,0.892899608049258,0.118212137002321
96,"Dirichlet_RF","train",0.817894770385116,0.892899608049258,0.127374581967245
96,"Dirichlet_RF","test",0.734645661548461,0.897534185227971,0.152399537781455
96,"Dirichlet_RF","test",0.734645661548461,0.897534185227971,0.0866327747330906
96,"Dirichlet_RF","test",0.734645661548461,0.897534185227971,0.132546568273055
96,"Dirichlet_regression","train",0.840244411836243,0.888174154855666,0.141380135818369
96,"Dirichlet_regression","train",0.840244411836243,0.888174154855666,0.127669452957634
96,"Dirichlet_regression","train",0.840244411836243,0.888174154855666,0.129216551483735
96,"Dirichlet_regression","test",0.728619661647066,0.89958904868957,0.149157131583526
96,"Dirichlet_regression","test",0.728619661647066,0.89958904868957,0.0960480868350976
96,"Dirichlet_regression","test",0.728619661647066,0.89958904868957,0.125927601748412
96,"CLR_RF","train",0.665732469408086,0.928527969852124,0.115666330459378
96,"CLR_RF","train",0.665732469408086,0.928527969852124,0.100322639099023
96,"CLR_RF","train",0.665732469408086,0.928527969852124,0.102084177733549
96,"CLR_RF","test",0.74968990704187,0.8888382362349,0.158705985519956
96,"CLR_RF","test",0.74968990704187,0.8888382362349,0.106872942571861
96,"CLR_RF","test",0.74968990704187,0.8888382362349,0.125654506746537
96,"ILR_RF","train",0.666875985894383,0.928090992288716,0.115894275202093
96,"ILR_RF","train",0.666875985894383,0.928090992288716,0.0999141399008593
96,"ILR_RF","train",0.666875985894383,0.928090992288716,0.103233906036306
96,"ILR_RF","test",0.750655882956472,0.88501978516876,0.162612081780791
96,"ILR_RF","test",0.750655882956472,0.88501978516876,0.106637313920084
96,"ILR_RF","test",0.750655882956472,0.88501978516876,0.128000677091727
144,"Dirichlet_RF","train",0.769274447364861,0.918248289352972,0.122548375575567
144,"Dirichlet_RF","train",0.769274447364861,0.918248289352972,0.0981911404179844
144,"Dirichlet_RF","train",0.769274447364861,0.918248289352972,0.114559343365643
144,"Dirichlet_RF","test",0.9002156620099,0.869919940929418,0.136815795768057
144,"Dirichlet_RF","test",0.9002156620099,0.869919940929418,0.129303771916757
144,"Dirichlet_RF","test",0.9002156620099,0.869919940929418,0.15787547908316
144,"Dirichlet_regression","train",0.771267442410885,0.917384049863819,0.124900947327771
144,"Dirichlet_regression","train",0.771267442410885,0.917384049863819,0.0979265649332486
144,"Dirichlet_regression","train",0.771267442410885,0.917384049863819,0.113986916397016
144,"Dirichlet_regression","test",0.85957388389103,0.857185641756845,0.14933032984848
144,"Dirichlet_regression","test",0.85957388389103,0.857185641756845,0.124244767105009
144,"Dirichlet_regression","test",0.85957388389103,0.857185641756845,0.168924961350715
144,"CLR_RF","train",0.665304947439397,0.938807368810914,0.106209212655155
144,"CLR_RF","train",0.665304947439397,0.938807368810914,0.0879388806044338
144,"CLR_RF","train",0.665304947439397,0.938807368810914,0.0962701874358846
144,"CLR_RF","test",0.880984630892364,0.859924403926674,0.140381490819902
144,"CLR_RF","test",0.880984630892364,0.859924403926674,0.136692759093321
144,"CLR_RF","test",0.880984630892364,0.859924403926674,0.163123193771344
144,"ILR_RF","train",0.666734154413218,0.938147356132664,0.107493494327464
144,"ILR_RF","train",0.666734154413218,0.938147356132664,0.0872890836715909
144,"ILR_RF","train",0.666734154413218,0.938147356132664,0.097017510104948
144,"ILR_RF","test",0.878233653518354,0.860433966604667,0.140888858397417
144,"ILR_RF","test",0.878233653518354,0.860433966604667,0.137001412763851
144,"ILR_RF","test",0.878233653518354,0.860433966604667,0.161695805042316
192,"Dirichlet_RF","train",0.782004933683267,0.90986636801894,0.123246439500138
